"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.450153750E-1,4.809498596E0,1.385967865E0,3.471880188E0,6.091480584E0
9.550863750E-1,5.197491760E0,1.564097443E0,3.134481812E0,6.267798468E0
9.651563750E-1,5.768853607E0,1.936972046E0,2.796933746E0,6.697340594E0
9.752263750E-1,6.319408722E0,2.347268829E0,2.505938873E0,7.191962680E0
9.852963750E-1,6.631809082E0,2.570155334E0,2.422711945E0,7.513728988E0
9.953663750E-1,6.603218536E0,2.547702026E0,2.534230042E0,7.517685984E0
1.005437375E0,6.288722534E0,2.395468597E0,2.782713318E0,7.282155884E0
1.015507375E0,5.883515167E0,2.257754974E0,3.059188385E0,7.005129679E0
1.025577375E0,5.635331268E0,2.151475983E0,3.267555084E0,6.860227666E0
1.035647375E0,5.632038116E0,2.092199249E0,3.320844269E0,6.864776595E0
1.045717375E0,5.776487732E0,2.128872986E0,3.261567535E0,6.966902719E0
1.055788375E0,6.108497314E0,2.257754974E0,3.171903992E0,7.243767797E0
1.065858375E0,6.567143555E0,2.433489532E0,3.083138580E0,7.652123188E0
1.075928375E0,6.963818665E0,2.578687592E0,2.990930328E0,8.005627041E0
1.085998375E0,7.301516418E0,2.618804169E0,2.968327332E0,8.305494834E0
1.096069375E0,7.603588257E0,2.520009613E0,2.964884491E0,8.541401693E0
1.106139375E0,7.754624176E0,2.441123657E0,3.083887024E0,8.695035365E0
1.116209375E0,7.939040680E0,2.299817505E0,3.321892090E0,8.908001714E0
1.126279375E0,8.187973022E0,2.282902679E0,3.573069763E0,9.220703574E0
1.136349375E0,8.566535797E0,2.480641479E0,3.692521362E0,9.652659308E0
1.146420375E0,8.822653198E0,2.710114288E0,3.772754517E0,9.970837756E0
1.156490375E0,9.025631104E0,2.913840637E0,3.833528137E0,1.022978113E1
1.166560375E0,9.241482239E0,3.183579712E0,3.788172455E0,1.048286336E1
1.176630375E0,9.297914886E0,3.350931702E0,3.669169922E0,1.054242725E1
1.186701375E0,9.363777924E0,3.416794739E0,3.647614746E0,1.061413758E1
1.196771375E0,9.543703766E0,3.418291626E0,3.649710388E0,1.077438560E1
1.206841375E0,9.753417664E0,3.423231354E0,3.569327545E0,1.093561924E1
1.216911375E0,1.007839188E1,3.494483185E0,3.312312012E0,1.116945864E1
1.226981375E0,1.039408539E1,3.409010925E0,3.079396362E0,1.136402431E1
1.237052375E0,1.087653214E1,3.288960571E0,2.987337799E0,1.174905954E1
1.247122375E0,1.135808075E1,3.181933136E0,3.149600372E0,1.220863134E1
1.257192375E0,1.165566193E1,3.020868073E0,3.536845093E0,1.254947696E1
1.267262375E0,1.181672699E1,2.852917328E0,4.152215424E0,1.284581905E1
1.277333375E0,1.170251450E1,2.693798218E0,4.888234863E0,1.296534745E1
1.287403375E0,1.130973129E1,2.634671173E0,5.554199982E0,1.287247651E1
1.297473375E0,1.083461929E1,2.675835571E0,5.992189178E0,1.266709921E1
1.307543375E0,1.037327866E1,2.735860748E0,6.130501556E0,1.235608730E1
1.317613375E0,1.025307861E1,2.503543854E0,5.758375397E0,1.202298799E1
1.327684375E0,1.065798660E1,1.970202942E0,5.309159546E0,1.206903282E1
1.337754375E0,1.141017242E1,1.574875031E0,5.020859070E0,1.256508225E1
1.347824375E0,1.221789276E1,1.407523041E0,4.808600464E0,1.320532707E1
1.357894375E0,1.274823990E1,1.187181244E0,4.799619141E0,1.367345471E1
1.367965375E0,1.278925461E1,9.062155151E-1,4.958738251E0,1.374683036E1
1.378035375E0,1.220277420E1,5.924679565E-1,5.055437164E0,1.322180628E1
1.388105375E0,1.122979752E1,2.430944824E-1,5.032834167E0,1.230840635E1
1.398175375E0,1.040606049E1,-1.460961914E-1,4.904850311E0,1.150499872E1
1.408245375E0,9.787846069E0,-4.505630493E-1,4.902754669E0,1.095636532E1
1.418316375E0,9.428293762E0,-6.671626282E-1,5.044809265E0,1.071391291E1
1.428386375E0,9.199270020E0,-7.083270264E-1,5.121150513E0,1.055246316E1
1.438456375E0,8.970096588E0,-6.505471802E-1,5.132676544E0,1.035520222E1
1.448526375E0,8.807983704E0,-6.601272583E-1,4.929099884E0,1.011495776E1
1.458596375E0,8.706943817E0,-7.529342651E-1,4.488715668E0,9.824782389E0
1.468667375E0,8.834777985E0,-1.028211823E0,3.632196808E0,9.607464558E0
1.478737375E0,8.756341095E0,-9.966275024E-1,2.974015503E0,9.301158205E0
1.488807375E0,8.354576569E0,-3.427871704E-2,3.214565277E0,8.951734725E0
1.498877375E0,8.703051910E0,4.212240601E-1,3.399730225E0,9.353005285E0
1.508948375E0,8.867559814E0,3.288661194E-1,3.082839203E0,9.393916518E0
1.519018375E0,8.527766418E0,2.947370911E-1,2.922971649E0,9.019613811E0
1.529088375E0,7.931556244E0,4.959187317E-1,2.976859589E0,8.486295590E0
1.539158375E0,7.364984436E0,6.845265198E-1,3.013982391E0,7.987218675E0
1.549228375E0,6.900051270E0,7.563771057E-1,3.011587372E0,7.566536351E0
1.559299375E0,6.301146698E0,7.566764832E-1,2.989583130E0,7.015312987E0
1.569369375E0,5.655090179E0,7.099736023E-1,2.813399506E0,6.356046274E0
1.579439375E0,5.418432312E0,7.952961731E-1,2.621947632E0,6.071780143E0
1.589509375E0,5.420677643E0,8.861572266E-1,2.580034790E0,6.068410027E0
1.599580375E0,5.392087097E0,1.022972717E0,2.550995178E0,6.052161006E0
1.609650375E0,5.396727448E0,1.276545410E0,2.471809845E0,6.071579633E0
1.619720375E0,5.503006439E0,1.510808258E0,2.373314667E0,6.180472795E0
1.629790375E0,5.632636871E0,1.636097717E0,2.210453339E0,6.268135116E0
1.639860375E0,5.648204498E0,1.721569977E0,1.951192474E0,6.218775548E0
1.649931375E0,5.696703644E0,1.776954803E0,1.611698456E0,6.181227442E0
1.660001375E0,5.792055359E0,1.763482819E0,1.360969849E0,6.205643872E0
1.670071375E0,5.893394623E0,1.701362000E0,1.304387512E0,6.271216757E0
1.680141375E0,6.049669647E0,1.734592896E0,1.432221680E0,6.454345381E0
1.690212375E0,6.244863739E0,1.964215393E0,1.654659119E0,6.752359738E0
1.700282375E0,6.444099426E0,2.376308441E0,1.916015625E0,7.130524181E0
1.710352375E0,6.901248779E0,2.644999695E0,2.094444580E0,7.681793814E0
1.720421208E0,7.519163818E0,2.725532227E0,2.222129059E0,8.300855859E0
1.730491208E0,8.290809174E0,2.780018921E0,2.365680542E0,9.058833610E0
1.740562208E0,9.201066284E0,2.842588806E0,2.520308990E0,9.954490911E0
1.750632208E0,1.014455429E1,2.907703400E0,2.715652771E0,1.089685692E1
1.760702208E0,1.115420471E1,2.776725769E0,2.933300171E0,1.186299872E1
1.770772208E0,1.190055267E1,2.651286621E0,3.104095001E0,1.258125115E1
1.780843208E0,1.230381409E1,2.655627594E0,3.297193451E0,1.301182861E1
1.790913208E0,1.250095413E1,2.377505951E0,3.259322205E0,1.313581250E1
1.800983208E0,1.248089584E1,1.993853760E0,3.084186401E0,1.301001228E1
1.811053208E0,1.239572296E1,1.695075073E0,3.074756012E0,1.288337501E1
1.821123208E0,1.233914062E1,1.436562653E0,3.196153564E0,1.282706129E1
1.831194208E0,1.224543549E1,1.104702759E0,3.326233063E0,1.273714587E1
1.841264208E0,1.207613754E1,7.279362488E-1,3.433110809E0,1.257574010E1
1.851334208E0,1.192929291E1,4.737648010E-1,3.509901123E0,1.244394987E1
1.861404208E0,1.182466049E1,4.608915710E-1,3.592529297E0,1.236694318E1
1.871474208E0,1.174667267E1,6.691085815E-1,3.631897430E0,1.231351713E1
1.881545208E0,1.169218597E1,9.286688232E-1,3.573518829E0,1.226130806E1
1.891615208E0,1.158485916E1,1.052611084E0,3.426075439E0,1.212662133E1
1.901685208E0,1.140702896E1,9.613009644E-1,3.222199402E0,1.189230752E1
1.911755208E0,1.130419281E1,8.614585876E-1,3.004252625E0,1.172827438E1
1.921825208E0,1.148426834E1,7.821235657E-1,2.869832153E0,1.186322356E1
1.931896208E0,1.193034073E1,6.465055847E-1,2.977009277E0,1.231314678E1
1.941966208E0,1.248314117E1,5.710624695E-1,3.417692871E0,1.295513607E1
1.952036208E0,1.300301010E1,5.519023132E-1,4.053869934E0,1.363146101E1
1.962106208E0,1.321556808E1,4.656816101E-1,4.590054932E0,1.399773923E1
1.972177208E0,1.295900162E1,2.471360779E-1,4.882247314E0,1.385038404E1
1.982247208E0,1.222373062E1,-1.152603149E-1,4.724176025E0,1.310536968E1
1.992317208E0,1.148860931E1,-5.090913391E-1,4.342020721E0,1.229229278E1
2.002387208E0,1.100062408E1,-8.930429077E-1,4.004322968E0,1.174077759E1
2.012457208E0,1.065379532E1,-1.229393463E0,3.715423737E0,1.134985183E1
2.022528208E0,1.048180298E1,-1.395248566E0,3.358416138E0,1.109476774E1
2.032598208E0,1.039243881E1,-1.292113037E0,2.958896942E0,1.088243593E1
2.042668208E0,1.027837601E1,-9.421408081E-1,2.564317474E0,1.063524173E1
2.052738208E0,1.009500732E1,-5.739065552E-1,2.140698395E0,1.033543087E1
2.062809208E0,9.815538483E0,-3.165916443E-1,1.792223053E0,9.982839749E0
2.072879208E0,9.356892242E0,-1.466949463E-1,1.590292969E0,9.492206465E0
2.082949208E0,8.768316193E0,-2.439926147E-2,1.584006042E0,8.910277174E0
2.093019208E0,8.202941895E0,1.254391479E-1,1.744172974E0,8.387259986E0
2.103089208E0,7.710915070E0,3.486250305E-1,1.988315277E0,7.970768361E0
2.113160208E0,7.246730347E0,5.815406799E-1,2.269281006E0,7.615965242E0
2.123230208E0,6.957681427E0,8.430468750E-1,2.496658173E0,7.439983932E0
2.133300208E0,6.751560059E0,1.053808594E0,2.560575256E0,7.297302339E0
2.143370208E0,6.528673553E0,1.130149841E0,2.470612335E0,7.071403138E0
2.153441208E0,6.314768372E0,1.224603424E0,2.327958984E0,6.840712402E0
2.163511208E0,6.092480621E0,1.407373352E0,2.199076996E0,6.628345156E0
2.173581208E0,5.867498474E0,1.619332581E0,2.092199249E0,6.436386723E0
2.183651208E0,5.598956909E0,1.749412079E0,1.968556366E0,6.187404566E0
2.193721208E0,5.314398651E0,1.781445465E0,1.797462158E0,5.886191568E0
2.203792208E0,5.070555725E0,1.737436981E0,1.647024994E0,5.607308976E0
2.213862208E0,4.888384552E0,1.682501221E0,1.487456818E0,5.379557758E0
2.223932208E0,4.773423615E0,1.656156006E0,1.384321289E0,5.238775730E0
2.234002208E0,4.789290619E0,1.649120636E0,1.297651520E0,5.228843368E0
2.244072208E0,5.017565918E0,1.753753052E0,1.275946655E0,5.466228807E0
2.254143208E0,5.499862976E0,1.905537415E0,1.392703857E0,5.984913502E0
2.264213208E0,6.158493347E0,2.062860260E0,1.541195068E0,6.675156552E0
2.274283208E0,6.785240021E0,2.182461548E0,1.616189117E0,7.308535271E0
2.284353208E0,7.303312683E0,2.345023499E0,1.776954803E0,7.873695430E0
2.294424208E0,7.573650513E0,2.437830505E0,1.871558075E0,8.173489419E0
2.304494208E0,7.821684723E0,2.443219299E0,2.127974854E0,8.466188601E0
2.314564208E0,8.245004425E0,2.427202606E0,2.694396973E0,9.007285135E0
2.324634208E0,8.793164520E0,2.442919922E0,3.111878815E0,9.642167276E0
2.334704208E0,9.323960724E0,2.433339844E0,3.322939911E0,1.019310139E1
2.344775208E0,9.871522064E0,2.362387390E0,3.570375366E0,1.075989788E1
2.354845208E0,1.035501663E1,2.302661591E0,3.880380707E0,1.129539615E1
2.364915208E0,1.067759583E1,2.350711670E0,4.111799469E0,1.168091575E1
2.374985208E0,1.081022003E1,2.378254395E0,4.272415466E0,1.186467383E1
2.385056208E0,1.072893906E1,2.340532837E0,4.433779907E0,1.184257706E1
2.395126208E0,1.047237259E1,2.315983887E0,4.583019562E0,1.166355166E1
2.405196208E0,1.021939865E1,2.274819489E0,4.620142365E0,1.144362827E1
2.415266208E0,1.009575577E1,2.053878937E0,4.542603607E0,1.125957152E1
2.425336208E0,1.028660889E1,1.780247955E0,4.437372437E0,1.134345094E1
2.435407208E0,1.085153412E1,1.551224213E0,4.378993835E0,1.180413810E1
2.445477208E0,1.156315430E1,1.403631134E0,4.304149475E0,1.241782672E1
2.455547208E0,1.222328156E1,1.368454285E0,4.319866791E0,1.303620068E1
2.465617208E0,1.272563690E1,1.427281952E0,4.547393646E0,1.358888359E1
2.475688208E0,1.301842804E1,1.514101410E0,4.863685913E0,1.397953548E1
2.485758208E0,1.291244843E1,1.490450592E0,5.136568451E0,1.397630505E1
2.495828208E0,1.229677872E1,1.429527283E0,5.432353363E0,1.351905241E1
2.505898208E0,1.160446838E1,1.374142456E0,5.637277222E0,1.297423787E1
2.515968208E0,1.121452927E1,1.153351593E0,5.561684418E0,1.257092758E1
2.526039208E0,1.118698654E1,8.042774963E-1,5.346432037E0,1.242496944E1
2.536109208E0,1.156450150E1,4.920268250E-1,5.222489777E0,1.269858987E1
2.546179208E0,1.220322327E1,2.475851440E-1,5.170248413E0,1.325561863E1
2.556249208E0,1.260304184E1,1.058299255E-1,5.088218994E0,1.359182976E1
2.566319208E0,1.233734436E1,1.362167358E-2,4.832700348E0,1.325010355E1
2.576390208E0,1.151974457E1,-1.884580994E-1,4.355941772E0,1.231723427E1
2.586460208E0,1.041579025E1,-3.930825806E-1,3.970343628E0,1.115378093E1
2.596530208E0,9.437873840E0,-4.770579529E-1,3.921545105E0,1.023130309E1
2.606600208E0,8.849746857E0,-5.435197449E-1,3.981270905E0,9.719256718E0
2.616671208E0,8.541986847E0,-7.044351196E-1,4.084406433E0,9.494426999E0
2.626741208E0,8.622818756E0,-9.620494080E-1,4.288731537E0,9.678417255E0
2.636811208E0,9.133107605E0,-1.090332642E0,4.455185394E0,1.022013487E1
