"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.399897583E0,5.737568665E-1,6.902146912E-1,2.149979095E0,2.329807583E0
1.409965583E0,6.548881531E-1,8.647517395E-1,1.636696472E0,1.963529833E0
1.420034583E0,6.462062073E-1,1.040486298E0,7.186555481E-1,1.420091544E0
1.430103583E0,5.219645691E-1,1.421144714E0,-1.010847931E0,1.820415571E0
1.440172583E0,8.008346558E-2,2.048190765E0,-3.909420319E0,4.414189167E0
1.450240583E0,-6.908134460E-1,2.558479614E0,-6.527176666E0,7.044648777E0
1.460309583E0,-1.085692291E0,2.556683350E0,-5.885610809E0,6.508131229E0
1.470378583E0,-1.143472137E0,2.162552948E0,-3.882027283E0,4.588496443E0
1.480446583E0,-9.885443115E-1,1.277593231E0,-2.304457855E0,2.814247737E0
1.490515583E0,-8.337661743E-1,1.526824951E-1,-1.556313629E0,1.772171010E0
1.500584583E0,-7.958949280E-1,-9.012757874E-1,-1.675316162E0,2.062142339E0
1.510653583E0,-7.319778442E-1,-1.767225037E0,-2.614912262E0,3.239852162E0
1.520721583E0,-1.368304596E0,-2.533331909E0,-6.086792450E0,6.733429316E0
1.530790583E0,-4.083208923E0,-2.894081726E0,-1.360700409E1,1.449823660E1
1.540859583E0,-9.704918518E0,-2.421813812E0,-2.919603653E1,3.086193731E1
1.550927583E0,-1.315943481E1,-1.158141632E0,-3.095143616E1,3.365268811E1
1.560996583E0,-8.637488251E0,-1.045575714E0,4.256398773E0,9.685884697E0
1.571065583E0,-1.104133942E1,-2.065554657E0,2.425930252E1,2.673371375E1
1.581133583E0,-1.509041931E1,-3.322790222E0,2.249821472E1,2.729343063E1
1.591202583E0,-1.850182526E1,-3.024161224E0,1.826202393E1,2.617182850E1
1.601271583E0,-2.834370895E1,-1.042731628E0,-7.571255493E-1,2.837298655E1
1.611340583E0,-4.182018448E1,3.912863159E-1,-2.460493378E1,4.852302238E1
1.621408583E0,-3.378160080E1,3.091072083E0,-1.427940582E1,3.680560704E1
1.631477583E0,-2.443653397E1,7.354356537E0,-1.007824219E1,2.743723233E1
1.641546583E0,-2.235122040E1,7.874824219E0,-7.671846313E0,2.490877628E1
1.651614583E0,-2.295072372E1,6.869215393E0,-3.118914185E0,2.415883824E1
1.661683583E0,-2.002101608E1,5.155728607E0,-2.249671783E0,2.079624114E1
1.671752583E0,-1.741343857E1,3.344046021E0,-5.631589050E0,1.860444253E1
1.681820583E0,-1.575833038E1,6.656657410E-1,-8.814719696E0,1.806840808E1
1.691889583E0,-1.313353867E1,-9.912387085E-1,-1.028002258E1,1.670782022E1
1.701958583E0,-1.253164032E1,-1.555864563E0,-9.680668945E0,1.591157047E1
1.712027583E0,-1.197809143E1,-2.067051544E0,-8.518485718E0,1.484290993E1
1.722095583E0,-1.011566437E1,-1.257684631E0,-4.677173767E0,1.121536405E1
1.732164583E0,-9.260642395E0,-1.049617310E0,-5.455854492E0,1.079942324E1
1.742233583E0,-8.992100830E0,-1.320254517E0,-8.525970154E0,1.246166588E1
1.752301583E0,-8.502768402E0,-1.753453674E0,-6.071673889E0,1.059419153E1
1.762370583E0,-7.291337585E0,-1.796264648E0,-2.978057098E0,8.078303940E0
1.772439583E0,-5.968538361E0,-1.763033752E0,-4.381987610E0,7.611409435E0
1.782507583E0,-5.797144775E0,-2.383343811E0,-6.637048187E0,9.128944293E0
1.792576583E0,-6.020180969E0,-3.380420380E0,-8.254285126E0,1.076118227E1
1.802645458E0,-6.992409210E0,-4.103716278E0,-9.237740021E0,1.229105832E1
1.812714458E0,-9.103469238E0,-4.005670166E0,-9.590706024E0,1.381666341E1
1.822782458E0,-1.076366684E1,-3.169658661E0,-1.002016296E1,1.504350111E1
1.832851458E0,-1.161704224E1,-2.363734589E0,-9.605824585E0,1.525826915E1
1.842920458E0,-1.125838806E1,-1.825903015E0,-8.069569244E0,1.397151285E1
1.852988458E0,-9.160051575E0,-1.710343323E0,-8.354726257E0,1.251532141E1
1.863057458E0,-7.141648865E0,-2.259102173E0,-8.897198181E0,1.163042676E1
1.873126458E0,-6.122568054E0,-2.790048065E0,-7.746540985E0,1.026056066E1
1.883194458E0,-5.568570099E0,-3.026855621E0,-6.989714813E0,9.435408898E0
1.893263458E0,-6.012546844E0,-2.825224915E0,-8.273594971E0,1.061060739E1
1.903332458E0,-7.215894470E0,-2.443368988E0,-8.765472107E0,1.161347004E1
1.913401458E0,-8.459208984E0,-2.317780151E0,-8.360414429E0,1.211721300E1
1.923469458E0,-9.521998901E0,-2.410736847E0,-8.524323578E0,1.300554527E1
1.933538458E0,-1.027343628E1,-2.558479614E0,-7.899223480E0,1.320935436E1
1.943607458E0,-1.083881058E1,-2.594105530E0,-7.410639496E0,1.338382516E1
1.953675458E0,-1.134071686E1,-2.476899261E0,-7.137906647E0,1.362705398E1
1.963744458E0,-1.140074203E1,-2.208208008E0,-6.627917175E0,1.337095313E1
1.973813458E0,-1.106289459E1,-1.734592896E0,-7.059020691E0,1.323730420E1
1.983881458E0,-1.062161224E1,-9.668394470E-1,-6.431076508E0,1.245440365E1
1.993950458E0,-1.022837997E1,-2.321672058E-1,-5.996979218E0,1.185906481E1
2.004019458E0,-1.024319916E1,6.721023560E-2,-5.681435394E0,1.171351161E1
2.014088458E0,-1.059302170E1,2.713856506E-1,-5.513484650E0,1.194505219E1
2.024156458E0,-1.143053009E1,6.545887756E-1,-5.632786560E0,1.275985067E1
2.034225458E0,-1.297022827E1,8.524772644E-1,-6.053411865E0,1.433866570E1
2.044294458E0,-1.549427948E1,8.033793640E-1,-7.178472290E0,1.709527945E1
2.054362458E0,-1.844524292E1,7.412585449E-1,-6.943760376E0,1.972288667E1
2.064431458E0,-2.122750717E1,8.765771484E-1,-7.490423584E0,2.252735878E1
2.074500458E0,-2.355741211E1,1.178349609E0,-8.870104523E0,2.519958189E1
2.084568458E0,-2.446602264E1,1.534758453E0,-6.927144928E0,2.547404727E1
2.094637458E0,-2.385544235E1,1.776356049E0,-4.440216522E0,2.433008618E1
2.104706458E0,-2.264730469E1,1.644629974E0,-3.139720917E0,2.292298115E1
2.114775458E0,-2.125714554E1,1.401236115E0,-5.749543762E-1,2.131103638E1
2.124843458E0,-2.023447220E1,1.367855530E0,2.183209991E0,2.039782586E1
2.134912458E0,-1.969604187E1,1.438209229E0,4.132456512E0,2.017621639E1
2.144981458E0,-1.899235519E1,1.472787323E0,4.916975098E0,1.967372111E1
2.155049458E0,-1.717019440E1,1.412462769E0,4.753664703E0,1.787198799E1
2.165118458E0,-1.454869583E1,1.417552185E0,4.564757538E0,1.531375251E1
2.175187458E0,-1.186747147E1,1.353934479E0,4.148473206E0,1.264436030E1
2.185255458E0,-9.227411499E0,1.006656647E0,3.093317413E0,9.784022342E0
2.195324458E0,-6.863227844E0,4.809498596E-1,1.406026154E0,7.022258807E0
2.205393458E0,-4.677024078E0,-2.415975952E-1,-1.185384979E0,4.830948269E0
2.215462458E0,-1.270258484E0,-1.642234955E0,-8.110583954E0,8.372100354E0
2.225530458E0,1.863025818E0,-3.249891815E0,-1.330148941E1,1.381891032E1
2.235599458E0,2.791694641E0,-4.962630157E0,-1.776580582E1,1.865596723E1
2.245668458E0,-1.830842743E0,-7.105274506E0,-2.983445892E1,3.072347393E1
2.255736458E0,-8.950337677E0,-4.176165619E0,-2.958597565E1,3.119100606E1
2.265805458E0,-8.466244354E0,-2.085463257E0,-1.475421844E1,1.713806910E1
2.275874458E0,-6.608607330E0,-1.798060913E0,-1.960473175E0,7.123915283E0
2.285942458E0,-3.103346558E0,-1.610351257E0,4.358935547E0,5.587871700E0
2.296011458E0,-9.145980835E-2,-1.480421448E0,4.571493530E0,4.806096717E0
2.306080458E0,5.164260864E-2,-9.009764099E-1,4.061204681E0,4.160265486E0
2.316149458E0,-2.832110596E-1,-7.050338745E-1,3.930975494E0,4.003729462E0
2.326217458E0,1.477427673E-1,-5.281018066E-1,3.328029327E0,3.372906558E0
2.336286458E0,-2.395019531E-2,-5.194198608E-2,2.894830170E0,2.895395188E0
2.346355458E0,1.618135071E-1,3.543132019E-1,2.712209930E0,2.740037256E0
2.356423458E0,6.239025879E-1,5.361849976E-1,2.832709351E0,2.949744236E0
2.366492458E0,9.788145447E-1,5.857319641E-1,2.995570679E0,3.205402243E0
2.376561458E0,1.221909027E0,8.005352783E-1,2.911595306E0,3.257499905E0
2.386629458E0,1.425335999E0,1.115330658E0,2.646047516E0,3.205793606E0
2.396698458E0,1.697919159E0,1.344803467E0,2.384092255E0,3.221074621E0
2.406767458E0,2.111060028E0,1.632804565E0,2.227218475E0,3.476079304E0
2.416835458E0,2.471660156E0,1.924547882E0,2.225422211E0,3.842589296E0
2.426904458E0,2.577789459E0,2.237397308E0,2.158960419E0,4.038818553E0
2.436973458E0,2.464475098E0,2.550246735E0,1.972298584E0,4.057999214E0
2.447042458E0,2.343376923E0,2.790796509E0,1.669328613E0,4.008318672E0
2.457110458E0,2.210303650E0,2.941233673E0,1.273102570E0,3.893210487E0
2.467179458E0,2.047292633E0,2.925366669E0,9.038204956E-1,3.683214460E0
2.477248458E0,1.869312744E0,2.679577789E0,5.915698242E-1,3.320304522E0
