"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.307343708E0,-1.586700439E-2,-3.219804382E0,1.345402222E0,3.489627367E0
1.317411708E0,-3.052153015E-1,-3.553460541E0,1.077908478E0,3.725872365E0
1.327480708E0,-4.983137512E-1,-4.356390839E0,1.013542328E0,4.500413957E0
1.337549708E0,-1.136586456E0,-5.487139435E0,1.789678345E0,5.882471974E0
1.347617708E0,-1.519340515E0,-7.296127625E0,2.116448822E0,7.747336932E0
1.357686708E0,-1.218915253E0,-9.810299377E0,2.870281219E0,1.029399060E1
1.367755708E0,-1.000369720E0,-1.249915787E1,2.086511078E0,1.271153867E1
1.377824708E0,-8.987310791E-1,-1.420051987E1,9.220825195E-2,1.422922993E1
1.387892708E0,-1.301543427E0,-1.452474564E1,-3.245251465E-1,1.458655434E1
1.397961708E0,-2.325563965E0,-1.455348587E1,1.391955414E0,1.480370692E1
1.408030708E0,-2.235601044E0,-1.542587173E1,2.868784332E0,1.584882817E1
1.418098708E0,-3.045117645E0,-1.629331787E1,3.172203369E0,1.687625026E1
1.428167708E0,-3.700754242E0,-1.698622696E1,3.414399719E0,1.771681726E1
1.438236708E0,-3.703448639E0,-1.759261597E1,3.456911316E0,1.830753681E1
1.448305708E0,-3.564986572E0,-1.778915726E1,3.481759644E0,1.847392474E1
1.458373708E0,-3.284320221E0,-1.801758224E1,3.585793304E0,1.866220627E1
1.468442708E0,-3.132236481E0,-1.824840225E1,3.120860138E0,1.877644424E1
1.478511708E0,-3.679049377E0,-1.884386398E1,2.213297424E0,1.932680262E1
1.488580708E0,-4.402045898E0,-1.952075638E1,9.497749329E-1,2.003347224E1
1.498648708E0,-5.571563873E0,-1.998119888E1,7.484436035E-3,2.074344930E1
1.508717708E0,-6.254144440E0,-2.039523788E1,1.594184875E-1,2.133320101E1
1.518786708E0,-5.932912445E0,-2.079954712E1,1.556613007E0,2.168510213E1
1.528854708E0,-5.349425812E0,-2.088771378E1,2.203567657E0,2.167414713E1
1.538923708E0,-4.676575012E0,-2.051798264E1,2.128274231E0,2.115153698E1
1.548992708E0,-4.148772583E0,-1.965652405E1,1.725312195E0,2.016353029E1
1.559061708E0,-3.561843109E0,-1.865136429E1,1.759141846E0,1.906973246E1
1.569129708E0,-2.966980133E0,-1.772359360E1,2.221530304E0,1.810701350E1
1.579198708E0,-2.475402374E0,-1.736149658E1,1.813927917E0,1.763064137E1
1.589267708E0,-2.353555756E0,-1.760563889E1,1.113085327E0,1.779709820E1
1.599335708E0,-2.612068176E0,-1.824585754E1,7.864645386E-1,1.844865155E1
1.609404708E0,-3.294648743E0,-1.883877457E1,5.788462830E-1,1.913345762E1
1.619473708E0,-4.013304291E0,-1.965832031E1,2.246827698E-1,2.006506046E1
1.629542708E0,-4.519401855E0,-2.045331711E1,3.875440979E-1,2.095025929E1
1.639610708E0,-4.553530884E0,-2.073203751E1,1.732646942E0,2.129680934E1
1.649679708E0,-4.273762665E0,-2.067515579E1,2.491419067E0,2.125874604E1
1.659748708E0,-3.938459930E0,-2.031455566E1,3.066373444E0,2.091877828E1
1.669816708E0,-3.578009491E0,-1.977597565E1,3.207230530E0,2.035135603E1
1.679885708E0,-3.062032471E0,-1.896361496E1,3.114423523E0,1.946007115E1
1.689954708E0,-2.875520325E0,-1.813059723E1,3.097059631E0,1.861663104E1
1.700023708E0,-2.558479614E0,-1.707095078E1,2.817590790E0,1.749005421E1
1.710091708E0,-2.239942017E0,-1.620485184E1,2.460882568E0,1.654298964E1
1.720160708E0,-1.991009674E0,-1.559666656E1,2.160457306E0,1.587097046E1
1.730229708E0,-1.551822968E0,-1.512335083E1,2.068099365E0,1.534278103E1
1.740298708E0,-1.259181519E0,-1.461830109E1,1.956581268E0,1.480231316E1
1.750366708E0,-1.411564636E0,-1.384815262E1,1.995350647E0,1.406219293E1
1.760435708E0,-1.491797791E0,-1.311153442E1,2.405797119E0,1.341363692E1
1.770504708E0,-8.189469910E-1,-1.309267365E1,2.629881134E0,1.337927697E1
1.780572708E0,-5.882766724E-1,-1.338576416E1,2.051633606E0,1.355484976E1
1.790641708E0,3.201841736E-1,-1.340597214E1,2.768642578E0,1.369262534E1
1.800710708E0,-6.872209167E-1,-1.281245636E1,3.049308929E0,1.318823701E1
1.810779708E0,-4.562512207E-1,-8.596323853E0,2.994073792E0,9.114243075E0
1.820847708E0,1.877096558E-1,-5.469476166E0,4.149371338E0,6.867873539E0
1.830916708E0,1.465602264E0,-5.731581116E0,4.727169800E0,7.572657816E0
1.840985708E0,2.501148834E0,-6.518045654E0,3.939058685E0,8.016036924E0
