"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.008168792E0,-8.972192230E0,1.233435059E0,4.339476013E-1,9.066967849E0
1.018236792E0,-8.182434540E0,1.140777740E0,6.441105652E-1,8.286645116E0
1.028305792E0,-7.564818878E0,1.013991394E0,9.583071899E-1,7.692399878E0
1.038373792E0,-6.870263214E0,8.675958252E-1,1.158740387E0,7.021105214E0
1.048442792E0,-6.441554718E0,6.472540283E-1,1.283880157E0,6.600069183E0
1.058510792E0,-6.335126038E0,4.680766296E-1,1.304686890E0,6.484992330E0
1.068579792E0,-6.502627716E0,2.924917603E-1,1.175056458E0,6.614414284E0
1.078647792E0,-6.826554108E0,6.631210327E-2,1.033600616E0,6.904677293E0
1.088716792E0,-6.974296875E0,-1.335223389E-1,9.644444275E-1,7.041931423E0
1.098784958E0,-6.969955902E0,-2.835104370E-1,9.032217407E-1,7.033951447E0
1.108853958E0,-7.008126526E0,-4.135899353E-1,8.234376526E-1,7.068447043E0
1.118921958E0,-6.982080688E0,-5.123844910E-1,7.809260559E-1,7.044276692E0
1.128990958E0,-7.041207733E0,-5.905220032E-1,6.574328613E-1,7.096445628E0
1.139058958E0,-7.105873260E0,-7.509883118E-1,5.542973328E-1,7.166914522E0
1.149127958E0,-7.264992371E0,-8.888516235E-1,4.831951904E-1,7.335097065E0
1.159195958E0,-7.517217865E0,-9.434880066E-1,5.010081482E-1,7.592742799E0
1.169264958E0,-7.763156433E0,-8.997789001E-1,5.528004456E-1,7.834653037E0
1.179333958E0,-8.002209320E0,-7.352709961E-1,7.458988953E-1,8.070461115E0
1.189401958E0,-8.349337463E0,-3.553610229E-1,1.096020813E0,8.428462443E0
1.199470958E0,-8.640631714E0,1.209484863E-1,1.523980865E0,8.774831202E0
1.209538958E0,-8.896000671E0,6.484515381E-1,2.042203217E0,9.150404981E0
1.219607958E0,-8.830736389E0,1.103205872E0,3.048111420E0,9.406909779E0
1.229675958E0,-8.481662292E0,1.503024445E0,4.061204681E0,9.523185454E0
1.239744958E0,-8.293204193E0,1.883832550E0,4.667444000E0,9.701087277E0
1.249812958E0,-8.114625549E0,2.239642639E0,5.197791138E0,9.893441245E0
1.259881958E0,-7.938292236E0,2.558030548E0,5.664221191E0,1.008183543E1
1.269949958E0,-7.871381378E0,2.789598999E0,5.783972168E0,1.015848618E1
1.280018958E0,-7.972870331E0,3.071462860E0,5.626948700E0,1.023049838E1
1.290086958E0,-8.331374817E0,3.351231079E0,4.835095367E0,1.019905404E1
1.300155958E0,-8.828940125E0,3.475472717E0,3.554208984E0,1.013220094E1
1.310223958E0,-9.365424500E0,3.351979523E0,2.431543579E0,1.024008530E1
1.320292958E0,-9.845925293E0,3.015628967E0,1.715283051E0,1.043927483E1
1.330361958E0,-1.000145187E1,2.799328766E0,1.551523590E0,1.050107169E1
1.340429958E0,-1.012988480E1,2.862946472E0,1.786085815E0,1.067713122E1
1.350498958E0,-1.054557037E1,3.087329865E0,2.139500885E0,1.119455780E1
1.360566958E0,-1.108100693E1,3.321892090E0,2.382894745E0,1.181109093E1
1.370635958E0,-1.161749130E1,3.653452606E0,2.481689301E0,1.242870073E1
1.380703958E0,-1.229917374E1,3.959116974E0,2.474803619E0,1.315556668E1
1.390772958E0,-1.299702255E1,4.256847839E0,2.102078705E0,1.383698246E1
1.400840958E0,-1.377375732E1,4.379592590E0,1.306183777E0,1.451217896E1
1.410909958E0,-1.475751160E1,4.430636444E0,7.161108398E-1,1.542489879E1
1.420977958E0,-1.508203674E1,4.514911194E0,5.575904846E-1,1.575319531E1
1.431046958E0,-1.463267120E1,4.588707733E0,9.729766846E-1,1.536613123E1
1.441114958E0,-1.344489120E1,4.417463837E0,1.898651733E0,1.427879423E1
1.451183958E0,-1.141331589E1,3.610042877E0,2.745740204E0,1.228150147E1
1.461251958E0,-9.752070465E0,2.244881744E0,2.539768524E0,1.032437875E1
1.471320958E0,-9.341474304E0,1.506018219E0,1.484762421E0,9.577878288E0
1.481388958E0,-1.037043457E1,1.368154907E0,4.522096252E-1,1.047006469E1
1.491457958E0,-1.187510559E1,1.245709534E0,-6.481521606E-2,1.194044078E1
1.501525958E0,-1.331301544E1,9.457333374E-1,1.193019104E-1,1.334709799E1
1.511594958E0,-1.473999802E1,6.162684631E-1,6.527925110E-1,1.476731074E1
1.521663958E0,-1.615560425E1,3.053649902E-1,1.039438477E0,1.619188774E1
1.531731958E0,-1.668610107E1,-7.274871826E-2,1.321152649E0,1.673847979E1
1.541800958E0,-1.576671295E1,-5.252577209E-1,1.551673279E0,1.585158739E1
1.551868958E0,-1.406580002E1,-8.047265625E-1,1.545685730E0,1.417333621E1
1.561937958E0,-1.252475464E1,-9.809101868E-1,1.588796082E0,1.266317245E1
1.572005958E0,-1.120719452E1,-9.469308472E-1,1.560654602E0,1.135489013E1
1.582074958E0,-1.041114990E1,-1.011296997E0,1.454824677E0,1.056083703E1
1.592142958E0,-1.008153534E1,-1.030606842E0,1.503473511E0,1.024499575E1
1.602211958E0,-9.699230347E0,-8.854087830E-1,1.538800049E0,9.860371373E0
1.612279958E0,-9.166188812E0,-6.385720825E-1,1.478625183E0,9.306617220E0
1.622348958E0,-8.620274048E0,-3.580554199E-1,1.386566620E0,8.738414921E0
1.632416958E0,-8.162076874E0,1.043330383E-1,1.213676147E0,8.252478056E0
1.642485958E0,-7.477700043E0,6.222560120E-1,9.171427917E-1,7.559388294E0
1.652553958E0,-6.839427338E0,8.978329468E-1,9.059161377E-1,6.957338166E0
1.662622958E0,-6.216871948E0,7.831713867E-1,1.117575989E0,6.364890442E0
1.672690958E0,-5.839057617E0,5.345384216E-1,1.463057556E0,6.043249341E0
1.682759958E0,-5.786217499E0,5.523513794E-2,1.615889740E0,6.007866802E0
1.692828958E0,-5.695506134E0,-4.105961609E-1,1.691632233E0,5.955585525E0
1.702896958E0,-5.590424652E0,-6.664141846E-1,1.511556702E0,5.829387559E0
1.712965958E0,-5.691913605E0,-8.898994446E-1,1.218166809E0,5.888440530E0
1.723033958E0,-5.846991119E0,-1.072968750E0,9.882449341E-1,6.026209019E0
1.733102958E0,-5.923332367E0,-1.164727936E0,8.767268372E-1,6.100090773E0
1.743170958E0,-6.090085602E0,-1.082399139E0,8.309220886E-1,6.241086608E0
1.753239958E0,-6.281986542E0,-8.141569519E-1,6.860234070E-1,6.371564531E0
1.763307958E0,-6.519991608E0,-5.764512634E-1,3.745211792E-1,6.556130927E0
1.773376958E0,-6.498735809E0,-3.830534363E-1,6.631210327E-2,6.510352859E0
1.783444958E0,-6.664141846E0,-1.808239746E-1,-1.103205872E-1,6.667507366E0
1.793513958E0,-6.798861694E0,-6.541397095E-2,-9.101074219E-2,6.799785458E0
1.803581958E0,-6.920558624E0,-1.327738953E-1,6.631210327E-2,6.922149801E0
1.813650958E0,-7.009623413E0,-1.471440125E-1,4.634362793E-1,7.026467458E0
1.823718958E0,-7.050638123E0,-4.999603271E-2,8.997789001E-1,7.107995470E0
1.833787958E0,-7.279961243E0,-2.082170105E-1,1.342258759E0,7.405595762E0
1.843855958E0,-7.573800201E0,-3.502716064E-1,1.805395660E0,7.793881779E0
1.853924958E0,-7.885751495E0,-4.737648010E-1,2.257156219E0,8.216099070E0
1.863992958E0,-8.143964539E0,-5.345384216E-1,2.631078644E0,8.575107262E0
1.874061958E0,-8.391849060E0,-5.551954651E-1,3.359913025E0,9.056510817E0
1.884130958E0,-8.499325562E0,-3.863465881E-1,4.048331451E0,9.422143399E0
1.894198958E0,-8.580606537E0,8.382568359E-3,4.647834778E0,9.758547378E0
1.904267958E0,-8.794661407E0,3.140469360E-1,5.653443604E0,1.045973801E1
1.914335958E0,-9.109307098E0,4.439767456E-1,7.088060303E0,1.155063591E1
1.924404958E0,-9.451046448E0,3.755690002E-1,8.755143585E0,1.288859458E1
1.934472958E0,-1.007674530E1,3.510200500E-1,9.948911133E0,1.416491594E1
1.944541958E0,-1.076411591E1,4.532574463E-1,1.019185593E1,1.483056171E1
1.954609958E0,-1.117141891E1,5.760021973E-1,1.004845413E1,1.503674864E1
1.964678958E0,-1.096200439E1,3.897894287E-1,9.318571930E0,1.439281970E1
1.974746958E0,-1.060709244E1,-1.212478638E-2,8.357270966E0,1.350387111E1
1.984815958E0,-1.065783691E1,-6.459068298E-1,7.567363586E0,1.308708046E1
1.994883958E0,-1.145148651E1,-1.230441284E0,7.138804779E0,1.355038976E1
2.004952958E0,-1.301214111E1,-1.624122620E0,6.566993866E0,1.466557190E1
2.015020958E0,-1.449166443E1,-1.613195343E0,5.855822754E0,1.571309636E1
2.025089958E0,-1.542796738E1,-1.183439026E0,4.989274750E0,1.625778484E1
2.035157958E0,-1.578946564E1,-5.182223511E-1,4.118236084E0,1.632591951E1
2.045226958E0,-1.483954102E1,3.001258850E-1,3.169958038E0,1.517730829E1
2.055294958E0,-1.323263260E1,1.262923737E0,2.018103333E0,1.344508397E1
2.065363958E0,-1.187375839E1,1.839524689E0,1.138831787E0,1.206925546E1
2.075432958E0,-1.040815613E1,2.095043335E0,5.664221191E-1,1.063201555E1
2.085500958E0,-9.323511658E0,2.201022949E0,1.884580994E-1,9.581643289E0
2.095569583E0,-8.879834290E0,2.229314117E0,5.328918457E-2,9.155552314E0
2.105637583E0,-9.006470947E0,2.156864777E0,-6.137237549E-2,9.261336359E0
2.115706583E0,-9.739496613E0,2.112706604E0,-1.829196167E-1,9.967686946E0
2.125774583E0,-1.089254883E1,2.244881744E0,-1.974394226E-1,1.112322329E1
